"Name","Server","DBFilePath","LogFolderPath","DeletedItemRetention","GC","OAB","RetainDeletedItemsUntilBackup","IndexEnabled","CircularLoggingEnabled","ProhibitSendReceiveQuota","ProhibitSendQuota","IssueWarningQuota","AllowFileRestore","BackgroundDatabaseMaintenance","IsExcludedFromProvisioning","IsSuspendedFromProvisioning","MailboxRetention","MountAtStartup","EventHistoryRetentionPeriod","AutoDagExcludeFromMonitoring","CalendarLoggingQuota","IsExcludedFromInitialProvisioning","DataMoveReplicationConstraint","RecoverableItemsQuota","RecoverableItemsWarningQuota"
"DAG-nn-DB19","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB19\DAG-nn-DB19.db\DAG-nn-DB19.edb","C:\ExchangeDatabases\DAG-nn-DB19\DAG-nn-DB19.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB20","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB20\DAG-nn-DB20.db\DAG-nn-DB20.edb","C:\ExchangeDatabases\DAG-nn-DB20\DAG-nn-DB20.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB21","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB21\DAG-nn-DB21.db\DAG-nn-DB21.edb","C:\ExchangeDatabases\DAG-nn-DB21\DAG-nn-DB21.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB22","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB22\DAG-nn-DB22.db\DAG-nn-DB22.edb","C:\ExchangeDatabases\DAG-nn-DB22\DAG-nn-DB22.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB23","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB23\DAG-nn-DB23.db\DAG-nn-DB23.edb","C:\ExchangeDatabases\DAG-nn-DB23\DAG-nn-DB23.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB24","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB24\DAG-nn-DB24.db\DAG-nn-DB24.edb","C:\ExchangeDatabases\DAG-nn-DB24\DAG-nn-DB24.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB25","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB25\DAG-nn-DB25.db\DAG-nn-DB25.edb","C:\ExchangeDatabases\DAG-nn-DB25\DAG-nn-DB25.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB26","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB26\DAG-nn-DB26.db\DAG-nn-DB26.edb","C:\ExchangeDatabases\DAG-nn-DB26\DAG-nn-DB26.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB27","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB27\DAG-nn-DB27.db\DAG-nn-DB27.edb","C:\ExchangeDatabases\DAG-nn-DB27\DAG-nn-DB27.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB28","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB28\DAG-nn-DB28.db\DAG-nn-DB28.edb","C:\ExchangeDatabases\DAG-nn-DB28\DAG-nn-DB28.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB29","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB29\DAG-nn-DB29.db\DAG-nn-DB29.edb","C:\ExchangeDatabases\DAG-nn-DB29\DAG-nn-DB29.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB30","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB30\DAG-nn-DB30.db\DAG-nn-DB30.edb","C:\ExchangeDatabases\DAG-nn-DB30\DAG-nn-DB30.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB31","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB31\DAG-nn-DB31.db\DAG-nn-DB31.edb","C:\ExchangeDatabases\DAG-nn-DB31\DAG-nn-DB31.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB32","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB32\DAG-nn-DB32.db\DAG-nn-DB32.edb","C:\ExchangeDatabases\DAG-nn-DB32\DAG-nn-DB32.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB33","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB33\DAG-nn-DB33.db\DAG-nn-DB33.edb","C:\ExchangeDatabases\DAG-nn-DB33\DAG-nn-DB33.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB34","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB34\DAG-nn-DB34.db\DAG-nn-DB34.edb","C:\ExchangeDatabases\DAG-nn-DB34\DAG-nn-DB34.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB35","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB35\DAG-nn-DB35.db\DAG-nn-DB35.edb","C:\ExchangeDatabases\DAG-nn-DB35\DAG-nn-DB35.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB36","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB36\DAG-nn-DB36.db\DAG-nn-DB36.edb","C:\ExchangeDatabases\DAG-nn-DB36\DAG-nn-DB36.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB37","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB37\DAG-nn-DB37.db\DAG-nn-DB37.edb","C:\ExchangeDatabases\DAG-nn-DB37\DAG-nn-DB37.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB38","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB38\DAG-nn-DB38.db\DAG-nn-DB38.edb","C:\ExchangeDatabases\DAG-nn-DB38\DAG-nn-DB38.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB39","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB39\DAG-nn-DB39.db\DAG-nn-DB39.edb","C:\ExchangeDatabases\DAG-nn-DB39\DAG-nn-DB39.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB40","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB40\DAG-nn-DB40.db\DAG-nn-DB40.edb","C:\ExchangeDatabases\DAG-nn-DB40\DAG-nn-DB40.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB41","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB41\DAG-nn-DB41.db\DAG-nn-DB41.edb","C:\ExchangeDatabases\DAG-nn-DB41\DAG-nn-DB41.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB42","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB42\DAG-nn-DB42.db\DAG-nn-DB42.edb","C:\ExchangeDatabases\DAG-nn-DB42\DAG-nn-DB42.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB43","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB43\DAG-nn-DB43.db\DAG-nn-DB43.edb","C:\ExchangeDatabases\DAG-nn-DB43\DAG-nn-DB43.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB44","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB44\DAG-nn-DB44.db\DAG-nn-DB44.edb","C:\ExchangeDatabases\DAG-nn-DB44\DAG-nn-DB44.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB45","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB45\DAG-nn-DB45.db\DAG-nn-DB45.edb","C:\ExchangeDatabases\DAG-nn-DB45\DAG-nn-DB45.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB46","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB46\DAG-nn-DB46.db\DAG-nn-DB46.edb","C:\ExchangeDatabases\DAG-nn-DB46\DAG-nn-DB46.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB47","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB47\DAG-nn-DB47.db\DAG-nn-DB47.edb","C:\ExchangeDatabases\DAG-nn-DB47\DAG-nn-DB47.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB48","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB48\DAG-nn-DB48.db\DAG-nn-DB48.edb","C:\ExchangeDatabases\DAG-nn-DB48\DAG-nn-DB48.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB49","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB49\DAG-nn-DB49.db\DAG-nn-DB49.edb","C:\ExchangeDatabases\DAG-nn-DB49\DAG-nn-DB49.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB50","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB50\DAG-nn-DB50.db\DAG-nn-DB50.edb","C:\ExchangeDatabases\DAG-nn-DB50\DAG-nn-DB50.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB51","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB51\DAG-nn-DB51.db\DAG-nn-DB51.edb","C:\ExchangeDatabases\DAG-nn-DB51\DAG-nn-DB51.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB52","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB52\DAG-nn-DB52.db\DAG-nn-DB52.edb","C:\ExchangeDatabases\DAG-nn-DB52\DAG-nn-DB52.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB53","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB53\DAG-nn-DB53.db\DAG-nn-DB53.edb","C:\ExchangeDatabases\DAG-nn-DB53\DAG-nn-DB53.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB54","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB54\DAG-nn-DB54.db\DAG-nn-DB54.edb","C:\ExchangeDatabases\DAG-nn-DB54\DAG-nn-DB54.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB55","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB55\DAG-nn-DB55.db\DAG-nn-DB55.edb","C:\ExchangeDatabases\DAG-nn-DB55\DAG-nn-DB55.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB56","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB56\DAG-nn-DB56.db\DAG-nn-DB56.edb","C:\ExchangeDatabases\DAG-nn-DB56\DAG-nn-DB56.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB57","SRV-nn-01","C:\ExchangeDatabases\DAG-nn-DB57\DAG-nn-DB57.db\DAG-nn-DB57.edb","C:\ExchangeDatabases\DAG-nn-DB57\DAG-nn-DB57.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB58","SRV-nn-02","C:\ExchangeDatabases\DAG-nn-DB58\DAG-nn-DB58.db\DAG-nn-DB58.edb","C:\ExchangeDatabases\DAG-nn-DB58\DAG-nn-DB58.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB59","SRV-nn-03","C:\ExchangeDatabases\DAG-nn-DB59\DAG-nn-DB59.db\DAG-nn-DB59.edb","C:\ExchangeDatabases\DAG-nn-DB59\DAG-nn-DB59.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB60","SRV-nn-04","C:\ExchangeDatabases\DAG-nn-DB60\DAG-nn-DB60.db\DAG-nn-DB60.edb","C:\ExchangeDatabases\DAG-nn-DB60\DAG-nn-DB60.log","180.00:00:00","GC1.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB61","SRV-nn-05","C:\ExchangeDatabases\DAG-nn-DB61\DAG-nn-DB61.db\DAG-nn-DB61.edb","C:\ExchangeDatabases\DAG-nn-DB61\DAG-nn-DB61.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB62","SRV-nn-06","C:\ExchangeDatabases\DAG-nn-DB62\DAG-nn-DB62.db\DAG-nn-DB62.edb","C:\ExchangeDatabases\DAG-nn-DB62\DAG-nn-DB62.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB63","SRV-nn-07","C:\ExchangeDatabases\DAG-nn-DB63\DAG-nn-DB63.db\DAG-nn-DB63.edb","C:\ExchangeDatabases\DAG-nn-DB63\DAG-nn-DB63.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
"DAG-nn-DB64","SRV-nn-08","C:\ExchangeDatabases\DAG-nn-DB64\DAG-nn-DB64.db\DAG-nn-DB64.edb","C:\ExchangeDatabases\DAG-nn-DB64\DAG-nn-DB64.log","180.00:00:00","GC2.contoso.com","\Default Offline Address Book","TRUE","True","FALSE","Unlimited","Unlimited","Unlimited","True","True","False","False","30.00:00:00","True","7.00:00:00","False","1GB","False","None","30","20"
